time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526084195189,2018-05-12T00:16:35.188999Z,1020.1568506852267,-72,380,944,2941,32.5,1023.65,23.59,C2:9A:9F:E5:58:27
1526084200686,2018-05-12T00:16:40.686000Z,1020.9172346473538,-72,372,948,2935,32.5,1023.61,23.59,C2:9A:9F:E5:58:27
1526084206226,2018-05-12T00:16:46.226000Z,1016.1810862243009,-68,380,940,2935,32.5,1023.56,23.58,C2:9A:9F:E5:58:27
1526084211274,2018-05-12T00:16:51.273999Z,1020.1568506852267,-72,380,944,2935,33,1023.65,23.58,C2:9A:9F:E5:58:27
1526084216345,2018-05-12T00:16:56.345000Z,1018.6736474455398,-72,376,944,2941,33,1023.65,23.58,C2:9A:9F:E5:58:27
1526084222072,2018-05-12T00:17:02.072000Z,1018.2494782714107,-76,384,940,2947,33,1023.66,23.58,C2:9A:9F:E5:58:27
1526084227446,2018-05-12T00:17:07.446000Z,1018.3987431256973,-68,376,944,2935,33,1023.65,23.59,C2:9A:9F:E5:58:27
1526084233015,2018-05-12T00:17:13.015000Z,1016.6690710354083,-64,372,944,2929,33,1023.63,23.59,C2:9A:9F:E5:58:27
1526084238212,2018-05-12T00:17:18.211999Z,1033.9748546265523,-68,388,956,2935,33,1023.67,23.58,C2:9A:9F:E5:58:27
1526084244092,2018-05-12T00:17:24.092000Z,1022.6318985832586,-64,388,944,2953,33,1023.65,23.58,C2:9A:9F:E5:58:27
1526084249236,2018-05-12T00:17:29.236000Z,1017.2040110027093,-72,372,944,2941,33,1023.54,23.58,C2:9A:9F:E5:58:27
